matched_area_clean,total_facilities,beds,cots,operational_norm,anc,art,beoc,blood,caes_sec,ceoc,epi,fp,growm,hbc,hct,ipd,opd,outreach,pmtct,rad_xray,rhtc_rhdc,tb_diag,tb_labs,tb_treat,youth,area_clean,total,population,facilities_per_10k,beds_per_10k,cots_per_10k,operational_count,pct_operational,anc_pct,art_pct,beoc_pct,blood_pct,caes_sec_pct,ceoc_pct,epi_pct,fp_pct,growm_pct,hbc_pct,hct_pct,ipd_pct,opd_pct,outreach_pct,pmtct_pct,rad_xray_pct,rhtc_rhdc_pct,tb_diag_pct,tb_labs_pct,tb_treat_pct,youth_pct
NANDI EAST,45,93.0,5.0,44,0,1,0,0,0,0,0,33,0,33,0,33,0,0,0,0,0,0,0,0,0,NANDI EAST,119173.0,119173.0,3.7760230924790013,7.803781057789936,0.4195581213865557,44,97.77777777777777,0.0,2.2222222222222223,0.0,0.0,0.0,0.0,0.0,73.33333333333333,0.0,73.33333333333333,0.0,73.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NANDI NORTH,35,111.0,8.0,24,0,1,0,0,0,0,0,15,0,3,0,15,0,0,0,0,0,0,0,0,0,NANDI NORTH,166171.0,166171.0,2.106264029222909,6.679865921249797,0.48143177810809346,24,68.57142857142857,0.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,42.857142857142854,0.0,8.571428571428571,0.0,42.857142857142854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NANDI SOUTH,47,102.0,7.0,31,0,0,0,0,0,0,0,21,0,21,0,19,0,0,0,0,0,0,0,0,0,NANDI SOUTH,172750.0,172750.0,2.7206946454413896,5.904486251808972,0.40520984081041966,31,65.95744680851064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.680851063829785,0.0,44.680851063829785,0.0,40.42553191489361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAROK NORTH,55,306.0,20.0,48,0,7,0,0,0,0,0,27,0,4,0,30,0,0,0,0,0,0,0,0,0,NAROK NORTH,251862.0,251862.0,2.183735537715098,12.149510446196727,0.7940856500782175,48,87.27272727272727,0.0,12.727272727272727,0.0,0.0,0.0,0.0,0.0,49.09090909090909,0.0,7.2727272727272725,0.0,54.54545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAROK SOUTH,57,135.0,40.0,48,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,NAROK SOUTH,238472.0,238472.0,2.3902177194806935,5.661041967191117,1.6773457680566273,48,84.21052631578947,0.0,52.63157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.63157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDHIWA,34,114.0,23.0,30,0,4,0,0,0,0,0,16,0,10,0,17,0,0,0,0,0,0,0,0,0,NDHIWA,218136.0,218136.0,1.5586606520702682,5.226097480470899,1.0543880881651813,30,88.23529411764706,0.0,11.76470588235294,0.0,0.0,0.0,0.0,0.0,47.05882352941176,0.0,29.411764705882355,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJORO,38,68.0,26.0,32,0,2,0,0,0,0,0,26,0,22,0,26,0,0,0,0,0,0,0,0,0,NJORO,238773.0,238773.0,1.5914697222885335,2.847893187253165,1.0889003363026808,32,84.21052631578947,0.0,5.263157894736842,0.0,0.0,0.0,0.0,0.0,68.42105263157895,0.0,57.89473684210527,0.0,68.42105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH HORR,9,34.0,0.0,7,0,0,0,0,0,0,0,4,0,6,0,5,0,0,0,0,0,0,0,0,0,NORTH HORR,71447.0,71447.0,1.259675003849007,4.758772236762915,0.0,7,77.77777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444444444444,0.0,66.66666666666666,0.0,55.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH MASABA,23,113.0,11.0,22,0,1,0,0,0,0,0,16,0,14,0,16,0,0,0,0,0,0,0,0,0,,,,,,,22,95.65217391304348,0.0,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,69.56521739130434,0.0,60.86956521739131,0.0,69.56521739130434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH POKOT,29,90.0,3.0,25,0,1,0,0,0,0,0,11,0,7,0,10,0,0,0,0,0,0,0,0,0,,,,,,,25,86.20689655172413,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,37.93103448275862,0.0,24.137931034482758,0.0,34.48275862068966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYAHURURU,30,308.0,27.0,29,0,1,0,0,0,0,0,11,0,15,0,9,0,0,0,0,0,0,0,0,0,NYAHURURU,154704.0,154704.0,1.9391870927707107,19.908987485779292,1.7452683834936396,29,96.66666666666667,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,36.666666666666664,0.0,50.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
